_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2020-06-01,2019-07-01,2020-07-01,Seasonally adjusted - current,Total residential,131237466,131237466
2020-06-01,2019-07-01,2020-07-01,Unadjusted - constant,Total commercial,20114534,20114534
2020-06-01,2019-07-01,2020-07-01,Unadjusted - constant,Total industrial,860479,860479
2020-06-01,2019-07-01,2020-07-01,Unadjusted - constant,Total institutional and governmental,1497478,1497478
2020-06-01,2019-07-01,2020-07-01,Unadjusted - constant,Total residential,130637866,130637866
2020-06-01,2019-07-01,2020-07-01,Unadjusted - current,Total commercial,23349211,23349211
2020-06-01,2019-07-01,2020-07-01,Unadjusted - current,Total industrial,999328,999328
2020-06-01,2019-07-01,2020-07-01,Unadjusted - current,Total institutional and governmental,1720392,1720392
2020-06-01,2019-07-01,2020-07-01,Unadjusted - current,Total residential,158112917,158112917
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - constant,Total commercial,20068007,20068007
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - constant,Total industrial,1417792,1417792
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - constant,Total institutional and governmental,1799157,1799157
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - constant,Total residential,112809162,112809162
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - current,Total commercial,23309145,23309145
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - current,Total industrial,1648277,1648277
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - current,Total institutional and governmental,2069835,2069835
2020-07-01,2019-08-01,2020-08-01,Seasonally adjusted - current,Total residential,136675241,136675241
2020-07-01,2019-08-01,2020-08-01,Unadjusted - constant,Total commercial,20604659,20604659
2020-07-01,2019-08-01,2020-08-01,Unadjusted - constant,Total industrial,1269059,1269059
2020-07-01,2019-08-01,2020-08-01,Unadjusted - constant,Total institutional and governmental,1965494,1965494
2020-07-01,2019-08-01,2020-08-01,Unadjusted - constant,Total residential,134651587,134651587
2020-07-01,2019-08-01,2020-08-01,Unadjusted - current,Total commercial,23917919,23917919
2020-07-01,2019-08-01,2020-08-01,Unadjusted - current,Total industrial,1473515,1473515
