_comparatorDateQ,_industrialFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent (psf),Vacancy Rate
Q2 2019,0,2020-01-01,2019-04-01,2020-04-01,Atlantic Acres Industrial Park,10.1,10.1,0.067
Q2 2019,0,2020-01-01,2019-04-01,2020-04-01,Bayers Lake,16.4,16.4,0.347
Q2 2019,0,2020-01-01,2019-04-01,2020-04-01,Bedford,20.18,20.18,0.054
Q2 2019,0,2020-01-01,2019-04-01,2020-04-01,Burnside,12.6,12.6,0.072
Q2 2019,0,2020-01-01,2019-04-01,2020-04-01,Halifax,13.06,13.06,0.049
Q2 2019,0,2020-01-01,2019-04-01,2020-04-01,Ragged Lake Business Park,12.55,12.55,0.444
Q2 2019,0,2020-01-01,2019-04-01,2020-04-01,Sackville,12.03,12.03,0.095
Q2 2019,1,2020-01-01,2019-04-01,2020-04-01,HRM,12.78,12.78,0.081
Q3 2019,0,2020-04-01,2019-07-01,2020-07-01,Atlantic Acres Industrial Park,10.1,10.1,0.067
Q3 2019,0,2020-04-01,2019-07-01,2020-07-01,Bayers Lake,16.04,16.04,0.365
Q3 2019,0,2020-04-01,2019-07-01,2020-07-01,Bedford,20.18,20.18,0
Q3 2019,0,2020-04-01,2019-07-01,2020-07-01,Burnside,12.62,12.62,0.091
Q3 2019,0,2020-04-01,2019-07-01,2020-07-01,Halifax,13.06,13.06,0.035
Q3 2019,0,2020-04-01,2019-07-01,2020-07-01,Ragged Lake Business Park,12.55,12.55,0.444
Q3 2019,0,2020-04-01,2019-07-01,2020-07-01,Sackville,12.03,12.03,0.095
Q3 2019,1,2020-04-01,2019-07-01,2020-07-01,HRM,12.78,12.78,0.096
Q4 2019,0,2020-07-01,2019-10-01,2020-10-01,Atlantic Acres Industrial Park,10.1,10.1,0.238
Q4 2019,0,2020-07-01,2019-10-01,2020-10-01,Bayers Lake,16.06,16.06,0.332
Q4 2019,0,2020-07-01,2019-10-01,2020-10-01,Bedford,20.34,20.34,0.02
Q4 2019,0,2020-07-01,2019-10-01,2020-10-01,Burnside,12.67,12.67,0.077
Q4 2019,0,2020-07-01,2019-10-01,2020-10-01,Halifax,13.06,13.06,0.035
Q4 2019,0,2020-07-01,2019-10-01,2020-10-01,Ragged Lake Business Park,12.55,12.55,0.178
Q4 2019,0,2020-07-01,2019-10-01,2020-10-01,Sackville,12.03,12.03,0.095
Q4 2019,1,2020-07-01,2019-10-01,2020-10-01,HRM,12.83,12.83,0.086
Q1 2020,0,2020-10-01,2020-01-01,2021-01-01,Atlantic Acres Industrial Park,10.1,10.1,0
Q1 2020,0,2020-10-01,2020-01-01,2021-01-01,Bayers Lake,16.06,16.06,0.332
Q1 2020,0,2020-10-01,2020-01-01,2021-01-01,Bedford,20.34,20.34,0.032
Q1 2020,0,2020-10-01,2020-01-01,2021-01-01,Burnside,12.89,12.89,0.047
Q1 2020,0,2020-10-01,2020-01-01,2021-01-01,Halifax,13.06,13.06,0.052
Q1 2020,0,2020-10-01,2020-01-01,2021-01-01,Ragged Lake Business Park,12.55,12.55,0.15
Q1 2020,0,2020-10-01,2020-01-01,2021-01-01,Sackville,12.03,12.03,0.095
Q1 2020,1,2020-10-01,2020-01-01,2021-01-01,HRM,13.02,13.02,0.056
Q2 2020,0,2021-01-01,2020-04-01,2021-04-01,Atlantic Acres Industrial Park,10.1,10.1,0
Q2 2020,0,2021-01-01,2020-04-01,2021-04-01,Bayers Lake,16.06,16.06,0.05
Q2 2020,0,2021-01-01,2020-04-01,2021-04-01,Bedford,20.34,20.34,0.062
Q2 2020,0,2021-01-01,2020-04-01,2021-04-01,Burnside,12.93,12.93,0.042
Q2 2020,0,2021-01-01,2020-04-01,2021-04-01,Halifax,13.07,13.07,0.052
Q2 2020,0,2021-01-01,2020-04-01,2021-04-01,Ragged Lake Business Park,15.15,15.15,0.038
Q2 2020,0,2021-01-01,2020-04-01,2021-04-01,Sackville,12.03,12.03,0.095
Q2 2020,1,2021-01-01,2020-04-01,2021-04-01,HRM,13.06,13.06,0.041
Q3 2020,0,2021-04-01,2020-07-01,2021-07-01,Atlantic Acres Industrial Park,10.1,10.1,0
Q3 2020,0,2021-04-01,2020-07-01,2021-07-01,Bayers Lake,16.1,16.1,0.005
Q3 2020,0,2021-04-01,2020-07-01,2021-07-01,Bedford,20.34,20.34,0
Q3 2020,0,2021-04-01,2020-07-01,2021-07-01,Burnside,13.19,13.19,0.041
Q3 2020,0,2021-04-01,2020-07-01,2021-07-01,Halifax,13.13,13.13,0.029
Q3 2020,0,2021-04-01,2020-07-01,2021-07-01,Ragged Lake Business Park,15.15,15.15,0.038
Q3 2020,0,2021-04-01,2020-07-01,2021-07-01,Sackville,12.03,12.03,0.095
Q3 2020,1,2021-04-01,2020-07-01,2021-07-01,HRM,13.29,13.29,0.038
Q4 2020,0,2021-07-01,2020-10-01,2021-10-01,Atlantic Acres Industrial Park,10.1,10.1,0
Q4 2020,0,2021-07-01,2020-10-01,2021-10-01,Bayers Lake,16.1,16.1,0.012
Q4 2020,0,2021-07-01,2020-10-01,2021-10-01,Bedford,23.29,23.29,0.039
Q4 2020,0,2021-07-01,2020-10-01,2021-10-01,Burnside,13.28,13.28,0.041
Q4 2020,0,2021-07-01,2020-10-01,2021-10-01,Halifax,13.13,13.13,0.053
Q4 2020,0,2021-07-01,2020-10-01,2021-10-01,Ragged Lake Business Park,15.15,15.15,0.038
Q4 2020,0,2021-07-01,2020-10-01,2021-10-01,Sackville,12.03,12.03,0
Q4 2020,1,2021-07-01,2020-10-01,2021-10-01,HRM,13.4,13.4,0.039
Q1 2021,0,2021-10-01,2021-01-01,2022-01-01,Atlantic Acres Industrial Park,10.1,10.1,0
Q1 2021,0,2021-10-01,2021-01-01,2022-01-01,Bayers Lake,16.45,16.45,0.012
Q1 2021,0,2021-10-01,2021-01-01,2022-01-01,Bedford,23.29,23.29,0.033
Q1 2021,0,2021-10-01,2021-01-01,2022-01-01,Burnside,13.81,13.81,0.04
Q1 2021,0,2021-10-01,2021-01-01,2022-01-01,Halifax,13.69,13.69,0.028
Q1 2021,0,2021-10-01,2021-01-01,2022-01-01,Ragged Lake Business Park,15.15,15.15,0.038
Q1 2021,0,2021-10-01,2021-01-01,2022-01-01,Sackville,12.03,12.03,0
